,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2016-01-04,-0.099927,0.976303436,0.632105931,1,0,1.239298807,1.150356481,1,0
2016-01-05,-0.030794,0.8538374,0.976303436,0,1,1.225903879,1.239298807,0,1
2016-01-06,0.011706,0.72711792,0.8538374,0,0,1.160000829,1.225903879,0,0
2016-01-07,-0.1,0.871136579,0.72711792,1,0,1.10159894,1.160000829,0,0
2016-01-08,0.011478,0.655417012,0.871136579,0,1,1.211437356,1.10159894,1,0
2016-01-11,-0.096686,0.830811723,0.655417012,1,0,1.226975473,1.211437356,1,1
2016-01-12,0.020101,0.788350938,0.830811723,0,1,1.196970833,1.226975473,0,1
2016-01-13,-0.046798,0.772230203,0.788350938,0,0,1.113386477,1.196970833,0,0
2016-01-14,0.052196,0.679685578,0.772230203,0,0,1.160536626,1.113386477,1,0
2016-01-15,-0.056974,0.800917931,0.679685578,1,0,1.093026185,1.160536626,0,1
2016-01-18,0.057292,0.915880598,0.800917931,1,1,1.14285532,1.093026185,1,0
2016-01-19,0.04335,0.963837715,0.915880598,1,1,1.191077064,1.14285532,1,1
2016-01-20,-0.008026,0.914545642,0.963837715,0,1,1.128924595,1.191077064,0,1
2016-01-21,-0.064731,0.668683705,0.914545642,0,0,1.084989228,1.128924595,0,0
2016-01-22,0.024427,0.653520455,0.668683705,0,0,1.016407193,1.084989228,0,0
2016-01-25,0.018381,0.806414264,0.653520455,1,0,0.996582699,1.016407193,1,0
2016-01-26,-0.1,0.830176468,0.806414264,1,1,1.092490388,0.996582699,1,1
2016-01-27,-0.020596,0.739491575,0.830176468,0,1,1.065700531,1.092490388,0,1
2016-01-28,-0.074156,0.672320308,0.739491575,0,0,1.021765165,1.065700531,0,0
2016-01-29,0.069934,0.604007423,0.672320308,0,0,0.994975307,1.021765165,0,0
2016-02-01,0.016201,0.937497667,0.604007423,1,0,0.867991383,0.994975307,1,0
2016-02-02,0.04453,0.639646126,0.937497667,0,1,0.947289361,0.867991383,1,1
2016-02-03,0.1,0.517336602,0.639646126,0,0,1.224832284,0.947289361,1,1
2016-02-04,0.003349,0.45824872,0.517336602,0,0,1.156786046,1.224832284,0,1
2016-02-05,-0.022413,0.374901477,0.45824872,0,0,0.788157607,1.156786046,0,0
2016-02-15,0.013171,0.397973187,0.374901477,1,0,1.090882997,0.788157607,1,0
2016-02-16,0.050072,0.563130172,0.397973187,1,1,1.066772125,1.090882997,0,1
2016-02-17,-0.005961,0.740007144,0.563130172,1,1,0.961220087,1.066772125,0,0
2016-02-18,-0.01845,0.777303033,0.740007144,1,1,0.995511104,0.961220087,1,0
2016-02-19,-0.00235,0.816808502,0.777303033,1,1,0.840129931,0.995511104,0,1
2016-02-22,0.019783,0.805429159,0.816808502,0,1,1.111243289,0.840129931,1,0
2016-02-23,0.014781,0.846214345,0.805429159,1,0,1.089275605,1.111243289,0,1
